"id"	"document"	"label"	"label_type"	"text"	"label_indices"	"context"
"12671"	"Shazam"	"0"	"[]"	"you may not use a false email address , impersonate any person or entity , or otherwise mislead as to the origin of any user content ."	"[0]"	"You may not use a false email address, impersonate any person or entity, or otherwise mislead as to the origin of any User Content. We have the right, but not the obligation, to refuse to post, remove or edit any posting or submission of User Content. We do not actively monitor User Content and take no responsibility and assume no liability for any User Content."
"2883"	"Expedia"	"0"	"[]"	"expedia allows points from selected loyalty programs -lrb- `` points programs '' -rrb- to be redeemed for certain travel-related goods and services on the website ."	"[0]"	"PAY WITH POINTS Expedia allows points from selected loyalty programs (“Points Programs”) to be redeemed for certain travel-related goods and services on the Website. If you use or register to use any points on the Website these terms and conditions apply. To be eligible to use points on the Website, you must have an Expedia.com account, you must have an eligible account with the provider of the Points Program that is active and in good standing, and your purchase must exceed minimum transaction value for the use of your points (if any)."
"11234"	"Opera"	"1"	"['LTD']"	"you specifically agree that opera is not responsible for any content sent using and/or included in the services by any third party ."	"[6]"	"b. You agree that Opera is not responsible or liable for any threatening, defamatory, obscene, offensive, or illegal content or conduct of any other party or any infringement of another’s rights, including intellectual property rights. You specifically agree that Opera is not responsible for any content sent using and/or included in the Services by any third party."
"3767"	"Tripadvisor"	"0"	"[]"	"the limitations of liability provided in these terms inure to the benefit of the tripadvisor media group companies ."	"[0]"	"The limitations specified in this section will survive and apply even if any limited remedy specified in these terms is found to have failed of its essential purpose. The limitations of liability provided in these terms inure to the benefit of the TripAdvisor Media Group Companies."
"13359"	"Nintendo"	"0"	"[]"	"you may terminate this agreement at any time by deleting your nintendo account ."	"[0]"	"You may terminate this Agreement at any time by deleting your Nintendo Account."
"12314"	"WhatsApp"	"1"	"['LAW']"	"the laws of the state of california govern our terms , as well as any disputes , whether in court or arbitration , which might arise between whatsapp and you , without regard to conflict of law provisions ."	"[5]"	"Governing Law. The laws of the State of California govern our Terms, as well as any Disputes, whether in court or arbitration, which might arise between WhatsApp and you, without regard to conflict of law provisions."
"13615"	"Alibaba"	"1"	"['LTD']"	"alibaba.com shall not be liable for damages or results arising from such disclosure , and member agrees not to bring any action or claim against alibaba.com for such disclosure ."	"[6]"	"6.4 Alibaba.com reserves the right to cooperate fully with governmental authorities, private investigators and/or injured third parties in the investigation of any suspected criminal or civil wrongdoing. Further, to the extent permitted by applicable laws and policies, Alibaba.com may disclose the Member's identity, contact information and/or information regarding the Member's account(s), transactions or activities carried out on or via the Site, if requested by a government or law enforcement body, an injured third party, or as a result of a subpoena or other legal action. Alibaba.com shall not be liable for damages or results arising from such disclosure, and Member agrees not to bring any action or claim against Alibaba.com for such disclosure."
"4878"	"ZalandoUK"	"1"	"['CH']"	"we may change or update the websites and anything described in it without notice to you ."	"[2]"	"12. We may change or update the Websites and anything described in it without notice to you."
"14129"	"Grindr"	"1"	"['CR']"	"in case of any unauthorized disclosure of your images , videos , pictures or any other material of yours containing nudity or sexual private content , grindr undertakes to take all necessary measures , to the extent applicable to our technical services , in order to remove the referred content in a diligent manner and in the shortest timeframe possible , provided that you notify us of the relevant infringement by identifying and specifying the infringing content ."	"[3]"	"Notice to Remove Sensitive or Private Content. In case of any unauthorized disclosure of Your images, videos, pictures or any other material of Yours containing nudity or sexual private content, Grindr undertakes to take all necessary measures, to the extent applicable to Our technical services, in order to remove the referred content in a diligent manner and in the shortest timeframe possible, provided that You notify Us of the relevant infringement by identifying and specifying the infringing content. Also, in the event You are exposed to inaccurate, offensive, indecent or objectionable content of other Users, You may notify Us of such content, so that We may take the appropriate measures in order to remove it, to the extent applicable."
"1328"	"WeTransfer"	"1"	"['PINC', 'USE']"	"if you use our services , you agree to the terms of service , ntd policy and privacy & cookie statement ."	"[7, 9]"	"Applicability Please read the Terms of Service carefully. If you use our Services, you agree to the Terms of Service, NTD Policy and Privacy & Cookie Statement. Privacy, cookies and illegal content are hot topics; they’re so important they had to go into other documents."
